fuel,hour,value
Power,316,0.000104498
Power,317,0.000103427
Power,318,9.88E-05
Power,319,0.000105983
Power,320,0.000124707
Power,321,0.000128299
Power,322,0.000182362
Power,323,0.000162982
Power,324,0.000165988
Power,325,0.000155762
Power,326,0.000160633
Power,327,0.000158422
Power,328,0.000149959
Power,329,0.000148888
Power,330,0.000175211
Power,331,0.000183571
Power,332,0.000168371
Power,333,0.000148508
Power,334,0.000147886
Power,335,0.000148335
Power,336,0.000129439
Power,337,0.000116312
Power,338,0.000107503
Power,339,0.000104118
Power,340,0.000100664
Power,341,0.000102598
Power,342,9.58E-05
Power,343,9.65E-05
Power,344,0.000118178
Power,345,0.000139768
Power,346,0.00017566
Power,347,0.000169097
Power,348,0.00017718
Power,349,0.000162637
Power,350,0.000174969
Power,351,0.000156246
Power,352,0.000135381
Power,353,0.000167439
Power,354,0.000176731
Power,355,0.000176904
Power,356,0.000164399
Power,357,0.000176904
Power,358,0.000157904
Power,359,0.000159459
Power,360,0.000141392
Power,361,0.00013013
Power,362,0.00011006
Power,363,0.000108194
Power,364,9.62E-05
Power,365,0.000100145
Power,366,9.13E-05
Power,367,9.27E-05
Power,368,0.000109403
Power,369,0.000147437
Power,370,0.000136003
Power,371,0.000141565
Power,372,0.000136452
Power,373,0.000133067
Power,374,0.000165642
Power,375,0.000153621
Power,376,0.000158802
Power,377,0.000151375
Power,378,0.000167957
Power,379,0.000153932
Power,380,0.000157559
Power,381,0.000181395
Power,382,0.000160322
Power,383,0.000157144
Power,384,0.000119421
Power,385,0.000114309
Power,386,0.00010778
Power,387,0.00011006
Power,388,9.61E-05
Power,389,9.76E-05
Power,390,9.54E-05
Power,391,9.68E-05
Power,392,0.000105638
Power,393,0.000118592
Power,394,0.00012899
Power,395,0.000154381
Power,396,0.000145952
Power,397,0.000157524
Power,398,0.000159977
Power,399,0.000164744
Power,400,0.000161566
Power,401,0.000165366
Power,402,0.000160979
Power,403,0.000167819
Power,404,0.000160771
Power,405,0.000151237
Power,406,0.000138801
Power,407,0.000143188
Power,408,0.000126883
Power,409,0.000109403
Power,410,0.000102563
Power,411,0.000100525
Power,412,9.88E-05
Power,413,9.71E-05
Power,414,9.26E-05
Power,415,9.76E-05
Power,416,0.000123187
Power,417,0.000134414
Power,418,0.000169131
Power,419,0.000155935
Power,420,0.000159251
Power,421,0.000173415
Power,422,0.000141875
Power,423,0.000147644
Power,424,0.000140701
Power,425,0.00013811
Power,426,0.000165504
Power,427,0.00017756
Power,428,0.000175073
Power,429,0.00016958
Power,430,0.000148923
Power,431,0.000134483
Power,432,0.00012367
Power,433,0.0001112
Power,434,0.000102667
Power,435,9.63E-05
Power,436,9.61E-05
Power,437,9.62E-05
Power,438,9.69E-05
Power,439,0.000103254
Power,440,0.000123774
Power,441,0.000137765
Power,442,0.000150097
Power,443,0.000161324
Power,444,0.000163121
Power,445,0.000148923
Power,446,0.000162499
Power,447,0.000130199
Power,448,0.000136832
Power,449,0.000152861
Power,450,0.000147955
Power,451,0.000178009
Power,452,0.000187682
Power,453,0.000179357
Power,454,0.000169408
Power,455,0.000140425
Power,456,0.000124327
Power,457,0.000111131
Power,458,0.000102322
Power,459,9.58E-05
Power,460,9.42E-05
Power,461,9.31E-05
Power,462,9.15E-05
Power,463,9.73E-05
Power,464,0.000112858
Power,465,0.000127712
Power,466,0.00014647
Power,467,0.000159942
Power,468,0.000123498
Power,469,0.000147921
Power,470,0.000142739
Power,471,0.000140286
Power,472,2.31E-06
Power,473,0.000135554
Power,474,0.000146435
Power,475,0.000140114
Power,476,0.000138248
Power,477,0.000140286
Power,478,0.00013887
Power,479,0.000114136
Power,480,0.00011424
Power,481,0.000111752
Power,482,0.000110958
Power,483,0.000105811
Power,484,0.000100974
Power,485,9.82E-05
Power,486,0.00010246
Power,487,0.000101078
Power,488,0.000121252
Power,489,0.000126399
Power,490,0.00014039
Power,491,0.000145744
Power,492,0.000156246
Power,493,0.000168993
Power,494,0.000137005
Power,495,0.000148888
Power,496,0.000145848
Power,497,0.000141668
Power,498,0.000146401
Power,499,0.000174728
Power,500,0.00016243
Power,501,0.000146366
Power,502,0.000142877
Power,503,0.000129543
Power,504,0.000140286
Power,505,0.000112581
Power,506,0.000104049
Power,507,9.82E-05
Power,508,0.000101285
Power,509,9.92E-05
Power,510,9.86E-05
Power,511,0.000103116
Power,512,0.000106432
Power,513,0.000142843
Power,514,0.000140701
Power,515,0.00014609
Power,516,0.000165746
Power,517,0.000150132
Power,518,0.000133032
Power,519,0.000134621
Power,520,0.000127643
Power,521,0.000140148
Power,522,0.000131754
Power,523,0.000144121
Power,524,1.16E-05
Power,525,0.000142774
Power,526,0.000134794
Power,527,0.000126814
Power,528,0.00011645
Power,529,0.000114689
Power,530,0.000107503
Power,531,9.80E-05
Power,532,9.86E-05
Power,533,9.70E-05
Power,534,9.77E-05
Power,535,9.89E-05
Power,536,0.000104947
Power,537,0.000114516
Power,538,0.000108402
Power,539,0.000126607
Power,540,0.00012481
Power,541,0.000125778
Power,542,0.000131063
Power,543,0.000111165
Power,544,0.000124119
Power,545,0.000124499
Power,546,0.00013545
Power,547,0.000138456
Power,548,0.000129336
Power,549,0.000115138
Power,550,0.000125743
Power,551,0.000113065
Power,552,9.54E-05
Power,553,9.03E-05
Power,554,7.74E-05
Power,555,7.07E-05
Power,556,7.38E-05
Power,557,7.21E-05
Power,558,7.18E-05
Power,559,7.06E-05
Power,560,8.64E-05
Power,561,9.70E-05
Power,562,0.000116934
Power,563,0.000121079
Power,564,0.000121183
Power,565,0.000123118
Power,566,0.000128403
Power,567,0.000138317
Power,568,1.24E-05
Power,569,2.75E-05
Power,570,0.000120423
Power,571,0.000137661
Power,572,0.000144086
Power,573,0.000136417
Power,574,0.000131063
Power,575,0.000129543
Power,576,0.000104843
Power,577,7.69E-05
Power,578,7.74E-05
Power,579,6.54E-05
Power,580,6.79E-05
Power,581,6.58E-05
Power,582,6.84E-05
Power,583,7.81E-05
Power,584,9.53E-05
Power,585,0.000115276
Power,586,0.000125363
Power,587,0.000127159
Power,588,0.000146297
Power,589,0.000148923
Power,590,0.000147644
Power,591,0.000148992
Power,592,0.000147126
Power,593,0.00013925
Power,594,0.000160806
Power,595,0.000178009
Power,596,0.000176697
Power,597,0.000152826
Power,598,0.000151513
Power,599,0.000141219
Power,600,0.000122012
Power,601,0.00010854
Power,602,9.59E-05
Power,603,9.69E-05
Power,604,9.78E-05
Power,605,9.24E-05
Power,606,9.47E-05
Power,607,0.000101769
Power,608,0.000131097
Power,609,0.000134414
Power,610,0.000155659
Power,611,0.000176731
Power,612,0.000167819
Power,613,0.000159493
Power,614,0.000169408
Power,615,0.000114274
Power,616,0.000112858
Power,617,0.000107434
Power,618,0.000160357
Power,619,0.000163155
Power,620,0.00017794
Power,621,0.000174002
Power,622,0.00014381
Power,623,0.000146435
Power,624,0.000123221
Power,625,0.000113618
Power,626,9.66E-05
Power,627,9.65E-05
Power,628,9.22E-05
Power,629,8.82E-05
Power,630,9.11E-05
Power,631,9.86E-05
Power,632,0.000110958
Power,633,0.00012937
Power,634,0.000138628
Power,635,0.000135899
Power,636,0.000132894
Power,637,0.000141668
Power,638,0.000153241
Power,639,0.000126227
Power,640,0.000118247
Power,641,0.000133688
Power,642,0.000151479
Power,643,0.000160944
Power,644,0.000158941
Power,645,0.000153828
Power,646,0.000166022
Power,647,0.000139803
Power,648,0.000123981
Power,649,0.000105845
Power,650,9.47E-05
Power,651,9.54E-05
Power,652,9.40E-05
Power,653,9.47E-05
Power,654,9.51E-05
Power,655,9.70E-05
Power,656,0.00013089
Power,657,0.000126848
Power,658,0.000146746
Power,659,0.000134552
Power,660,0.000132376
Power,661,0.000162741
Power,662,0.000169546
Power,663,0.000152688
Power,664,0.000151583
Power,665,0.000144639
Power,666,0.00015597
Power,667,0.000164744
Power,668,0.000172344
Power,669,0.000167439
Power,670,0.000151686
Power,671,0.000133239
Power,672,0.000120492
Power,673,0.000103047
Power,674,9.42E-05
Power,675,9.61E-05
Power,676,9.14E-05
Power,677,9.02E-05
Power,678,9.11E-05
Power,679,0.000100525
Power,680,0.000124327
Power,681,0.000139457
Power,682,0.00013887
Power,683,0.000160253
Power,684,0.000142635
Power,685,0.000128714
Power,686,0.000130545
Power,687,0.000130372
Power,688,0.00012785
Power,689,0.000122427
Power,690,0.000146504
Power,691,0.000137143
Power,692,0.000155417
Power,693,0.000166402
Power,694,0.000144501
Power,695,0.000139388
Power,696,0.000126261
Power,697,0.000120734
Power,698,9.97E-05
Power,699,9.93E-05
Power,700,0.000104463
Power,701,0.00010094
Power,702,9.54E-05
Power,703,9.80E-05
Power,704,0.000118143
Power,705,0.000131857
Power,706,0.000131408
Power,707,0.000149613
Power,708,0.000134794
Power,709,0.000147921
Power,710,0.000151272
Power,711,0.000143154
Power,712,0.000141565
Power,713,0.000135692
Power,714,0.000139112
Power,715,0.000143741
Power,716,0.000148784
Power,717,0.000150063
Power,718,0.000139354
Power,719,0.000133308
Power,720,0.000124879
Power,721,0.000116174
Power,722,0.000111683
Power,723,0.000109403
Power,724,0.000106571
Power,725,0.000102356
Power,726,0.000102978
Power,727,9.63E-05
Power,728,0.000108643
Power,729,0.000108471
Power,730,0.000110716
Power,731,0.000125052
Power,732,0.000122634
Power,733,0.000129923
Power,734,0.000137143
Power,735,0.000130579
Power,736,0.000143015
Power,737,0.000129819
Power,738,0.000136866
Power,739,0.000147334
Power,740,0.00013317
Power,741,0.000135105
Power,742,0.000141634
Power,743,0.000129543
Power,744,0.000104843
Power,745,8.94E-05
Power,746,7.97E-05
Power,747,7.94E-05
Power,748,8.21E-05
Power,749,7.32E-05
Power,750,7.61E-05
Power,751,9.05E-05
Power,752,9.79E-05
Power,753,0.000116554
Power,754,0.000140045
Power,755,0.000141219
Power,756,2.23E-05
Power,757,2.94E-05
Power,758,0.000102771
Power,759,0.000116485
Power,760,0.000106053
Power,761,0.000113065
Power,762,0.000134241
Power,763,0.000139975
Power,764,0.000143085
Power,765,0.00014799
Power,766,0.000120181
Power,767,0.000112132
Power,768,0.000101665
Power,769,8.57E-05
Power,770,8.16E-05
Power,771,7.95E-05
Power,772,8.12E-05
Power,773,7.49E-05
Power,774,8.03E-05
Power,775,8.10E-05
Power,776,0.000105845
Power,777,0.000121459
Power,778,0.000127298
Power,779,0.000117314
Power,780,0.000135001
Power,781,0.000127885
Power,782,0.000124914
Power,783,0.000114274
Power,784,0.000112858
Power,785,0.000107434
Power,786,0.0001188
Power,787,0.000153068
Power,788,7.88E-06
Power,789,8.94E-05
Power,790,0.000133343
Power,791,0.000121183
Power,792,9.38E-05
Power,793,9.05E-05
Power,794,8.01E-05
Power,795,8.20E-05
Power,796,7.52E-05
Power,797,7.45E-05
Power,798,7.41E-05
Power,799,7.70E-05
Power,800,9.85E-05
Power,801,0.000113583
Power,802,0.000127159
Power,803,0.000117556
Power,804,0.000149372
Power,805,0.000134863
Power,806,8.98E-07
Power,807,0.000118074
Power,808,0.000107642
Power,809,0.000103911
Power,810,0.000108678
Power,811,0.000121839
Power,812,0.000155659
Power,813,0.00012291
Power,814,0.000127919
Power,815,5.84E-05
Power,816,8.30E-05
Power,817,8.34E-05
Power,818,8.07E-05
Power,819,7.47E-05
Power,820,7.16E-05
Power,821,7.33E-05
Power,822,6.83E-05
Power,823,7.13E-05
Power,824,9.13E-05
Power,825,9.92E-05
Power,826,0.000117452
Power,827,0.000137212
Power,828,0.000123256
Power,829,0.000130407
Power,830,0.000116692
Power,831,0.000101424
Power,832,0.000121701
Power,833,0.000121598
Power,834,0.000115172
Power,835,0.000121114
Power,836,0.000116278
Power,837,0.000167439
Power,838,0.000151686
Power,839,0.000126019
Power,840,0.000140459
Power,841,0.000130752
Power,842,0.0001112
Power,843,0.000106156
Power,844,0.000104636
Power,845,0.000100042
Power,846,9.97E-05
Power,847,0.000101976
Power,848,0.000111856
Power,849,0.000152446
Power,850,0.000153206
Power,851,0.00018022
Power,852,0.000183364
Power,853,0.000156626
Power,854,0.000145952
Power,855,0.000154035
Power,856,0.000142843
Power,857,0.000142912
Power,858,0.000148335
Power,859,0.00014419
Power,860,0.000154726
Power,861,0.000163397
Power,862,0.000154484
Power,863,0.00014191
Power,864,0.000114585
Power,865,0.000106985
Power,866,0.000105051
Power,867,0.000103634
Power,868,9.63E-05
Power,869,9.61E-05
Power,870,9.86E-05
Power,871,9.85E-05
Power,872,0.000112063
Power,873,0.000122289
Power,874,0.000138006
Power,875,0.000153172
Power,876,0.000139665
Power,877,0.000155832
Power,878,0.000144639
Power,879,0.000151203
Power,880,0.000135623
Power,881,0.000134034
Power,882,0.000129163
Power,883,0.000133205
Power,884,0.000146608
Power,885,0.00013089
Power,886,0.000125052
Power,887,0.000110474
Power,888,0.000117176
Power,889,0.000117867
Power,890,0.000109369
Power,891,0.000100387
Power,892,9.64E-05
Power,893,9.49E-05
Power,894,8.79E-05
Power,895,8.57E-05
Power,896,8.64E-05
Power,897,0.000102494
Power,898,0.000110474
Power,899,9.72E-05
Power,900,0.000118178
Power,901,0.000133481
Power,902,0.000103842
Power,903,0.000136383
Power,904,0.000150235
Power,905,0.000132652
Power,906,0.000140735
Power,907,0.000137765
Power,908,0.000136694
Power,909,0.000142705
Power,910,0.000141634
Power,911,0.000129543
Power,912,6.98E-06
Power,913,9.37E-05
Power,914,8.47E-05
Power,915,8.41E-05
Power,916,7.82E-05
Power,917,7.24E-05
Power,918,7.08E-05
Power,919,8.65E-05
Power,920,0.000112754
Power,921,0.000124154
Power,922,0.000136383
Power,923,0.000141219
Power,924,0.000134379
Power,925,0.000154761
Power,926,0.000131547
Power,927,0.000122081
Power,928,0.000144708
Power,929,0.000125156
Power,930,0.000122254
Power,931,8.65E-05
Power,932,0.000143085
Power,933,1.22E-05
Power,934,0.000120181
Power,935,0.00011766
Power,936,0.000108954
Power,937,9.06E-05
Power,938,8.95E-05
Power,939,7.64E-05
Power,940,7.92E-05
Power,941,8.37E-05
Power,942,8.03E-05
Power,943,8.67E-05
Power,944,0.000104291
Power,945,7.70E-06
Power,946,0.000127298
Power,947,0.00013393
Power,948,0.000140321
Power,949,0.000110543
Power,950,0.00013355
Power,951,0.000117694
Power,952,0.00011614
Power,953,0.000109507
Power,954,0.000125259
Power,955,0.000153068
Power,956,7.88E-06
Power,957,8.94E-05
Power,958,0.000133343
Power,959,0.000121183
Power,960,9.32E-05
Power,961,8.83E-05
Power,962,8.55E-05
Power,963,8.26E-05
Power,964,7.99E-05
Power,965,7.97E-05
Power,966,7.71E-05
Power,967,9.00E-05
Power,968,9.85E-05
Power,969,0.000113583
Power,970,0.000127159
Power,971,6.70E-06
Power,972,5.82E-05
Power,973,3.30E-05
Power,974,8.98E-07
Power,975,0.000118074
Power,976,0.000107642
Power,977,0.000106882
Power,978,0.000132307
Power,979,0.000132894
Power,980,0.000155659
Power,981,0.00012291
Power,982,0.000127919
Power,983,0.000127919
Power,984,2.65E-05
Power,985,8.34E-05
Power,986,8.07E-05
Power,987,8.14E-05
Power,988,7.67E-05
Power,989,8.23E-05
Power,990,6.83E-05
Power,991,7.13E-05
Power,992,0.000101493
Power,993,9.92E-05
Power,994,0.000117452
Power,995,0.000116623
Power,996,0.000110267
Power,997,0.000130407
Power,998,0.000116692
Power,999,0.000101424
Power,1000,0.000119974
Power,1001,0.000112374
Power,1002,0.000115172
Power,1003,0.000121114
Power,1004,0.000116278
Power,1005,0.000167439
Power,1006,0.000151686
Power,1007,1.00E-04
Power,1008,8.87E-05
Power,1009,8.69E-05
Power,1010,6.88E-05
Power,1011,0.000106156
Power,1012,0.000104636
Power,1013,6.45E-05
Power,1014,6.65E-05
Power,1015,8.09E-05
Power,1016,6.97E-05
Power,1017,0.00010436
Power,1018,0.000153206
Power,1019,0.00018022
Power,1020,0.000183364
Power,1021,0.000156626
Power,1022,0.000105949
Power,1023,0.000110129
Power,1024,9.82E-05
Power,1025,9.48E-05
Power,1026,0.000103323
Power,1027,0.000115829
Power,1028,0.000154726
Power,1029,0.000163397
Power,1030,0.000154484
Power,1031,0.00014191
Power,1032,8.68E-05
Power,1033,8.06E-05
Power,1034,6.86E-05
Power,1035,6.49E-05
Power,1036,6.60E-05
Power,1037,9.61E-05
Power,1038,7.02E-05
Power,1039,9.03E-05
Power,1040,0.000112063
Power,1041,8.99E-05
Power,1042,0.000113238
Power,1043,0.000153172
Power,1044,0.000139665
Power,1045,0.000155832
Power,1046,0.000144639
Power,1047,0.000122254
Power,1048,0.000114723
Power,1049,0.000120285
Power,1050,0.000129163
Power,1051,0.000133205
Power,1052,0.000146608
Power,1053,0.00013089
Power,1054,0.000102425
Power,1055,0.0001017
Power,1056,8.40E-05
Power,1057,0.000117867
Power,1058,0.000109369
Power,1059,0.000100387
Power,1060,9.64E-05
Power,1061,9.49E-05
Power,1062,8.79E-05
Power,1063,8.57E-05
Power,1064,8.64E-05
Power,1065,0.000102494
Power,1066,0.000110474
Power,1067,4.73E-06
Power,1068,7.01E-06
Power,1069,0.000117729
Power,1070,0.000122289
Power,1071,0.000138041
Power,1072,0.000110336
Power,1073,0.000124327
Power,1074,0.000140735
Power,1075,0.000137765
Power,1076,0.000136694
Power,1077,0.000142705
Power,1078,9.30E-05
Power,1079,9.88E-05
Power,1080,7.91E-05
Power,1081,7.19E-05
Power,1082,8.47E-05
Power,1083,8.41E-05
Power,1084,7.82E-05
Power,1085,5.61E-05
Power,1086,5.10E-05
Power,1087,5.88E-05
Power,1088,8.99E-05
Power,1089,0.000108505
Power,1090,0.000136383
Power,1091,0.000141219
Power,1092,0.000134379
Power,1093,0.000154761
Power,1094,0.000131547
Power,1095,9.47E-05
Power,1096,0.000120872
Power,1097,0.000106398
Power,1098,5.44E-05
Power,1099,8.65E-05
Power,1100,0.000143085
Power,1101,1.22E-05
Power,1102,0.000120181
Power,1103,0.00011766
Power,1104,0.000108954
Power,1105,7.11E-05
Power,1106,6.49E-05
Power,1107,6.35E-05
Power,1108,5.70E-05
Power,1109,5.55E-05
Power,1110,5.66E-05
Power,1111,7.01E-05
Power,1112,0.000104291
Power,1113,7.70E-06
Power,1114,2.01E-05
Power,1115,0.00013203
Power,1116,0.000140321
Power,1117,0.000110543
Power,1118,0.00013355
Power,1119,0.000127021
Power,1120,0.000100456
Power,1121,9.29E-05
Power,1122,9.94E-05
Power,1123,0.000102425
Power,1124,7.88E-06
Power,1125,8.94E-05
Power,1126,0.000133343
Power,1127,0.000121183
Power,1128,8.94E-05
Power,1129,7.73E-05
Power,1130,7.63E-05
Power,1131,6.76E-05
Power,1132,7.99E-05
Power,1133,7.97E-05
Power,1134,5.90E-05
Power,1135,7.90E-05
Power,1136,7.77E-05
Power,1137,0.000113583
Power,1138,0.000127159
Power,1139,0.000103669
Power,1140,0.000109369
Power,1141,0.000125708
Power,1142,8.98E-07
Power,1143,3.93E-05
Power,1144,0.000107642
Power,1145,9.92E-05
Power,1146,9.62E-05
Power,1147,0.000110612
Power,1148,6.81E-05
Power,1149,0.00012291
Power,1150,0.000127919
Power,1151,0.000127919
Power,1152,2.65E-05
Power,1153,8.24E-05
Power,1154,8.07E-05
Power,1155,7.38E-05
Power,1156,7.67E-05
Power,1157,8.23E-05
Power,1158,6.43E-05
Power,1159,6.73E-05
Power,1160,0.000101493
Power,1161,9.92E-05
Power,1162,0.000101769
Power,1163,0.000116623
Power,1164,0.000110267
Power,1165,0.000130407
Power,1166,0.000116692
Power,1167,0.000101424
Power,1168,0.000103427
Power,1169,0.000124741
Power,1170,3.28E-05
Power,1171,0.000121114
Power,1172,0.000116278
Power,1173,0.000130027
Power,1174,0.000120354
Power,1175,0.000112961
Power,1176,9.04E-05
Power,1177,7.32E-05
Power,1178,7.38E-05
Power,1179,6.20E-05
Power,1180,6.97E-05
Power,1181,7.19E-05
Power,1182,6.16E-05
Power,1183,6.99E-05
Power,1184,8.44E-05
Power,1185,9.53E-05
Power,1186,0.000112754
Power,1187,2.37E-05
Power,1188,0.000129785
Power,1189,0.000156626
Power,1190,0.000105949
Power,1191,0.000110129
Power,1192,9.82E-05
Power,1193,0.000110716
Power,1194,3.97E-06
Power,1195,7.23E-05
Power,1196,0.000129059
Power,1197,0.000163397
Power,1198,0.000154484
Power,1199,0.00014191
Power,1200,8.68E-05
Power,1201,8.17E-05
Power,1202,8.32E-05
Power,1203,7.33E-05
Power,1204,7.70E-05
Power,1205,9.61E-05
Power,1206,7.02E-05
Power,1207,8.03E-05
Power,1208,7.36E-05
Power,1209,8.99E-05
Power,1210,5.04E-06
Power,1211,0.00012329
Power,1212,0.000139665
Power,1213,0.000155832
Power,1214,0.000144639
Power,1215,0.000122254
Power,1216,0.000113272
Power,1217,0.000143361
